,m,n,seed,cap_rate,rev_method,max_rev,gap_order,gap_method
0,50,5,88,1,0.41965606691403706,0.530729329,20.92841983,20.92841982093719
1,50,5,79,1,0.4159036077628777,0.500908118,16.9700803,16.970080376521725
2,50,5,73,1,0.47320311060447445,0.547850496,13.6255029,13.625502932012598
3,50,5,3,1,0.37606145287201576,0.432661088,13.08174837,13.081748439550974
4,50,5,55,1,0.5585538114503161,0.629553985,11.27785312,11.277853089863916
5,50,5,91,1,0.3703431825314487,0.372581307,0.600707743,0.6007076647437015
6,50,5,13,1,0.6571820389716128,0.701155555,6.27157778,6.27157778538705
7,50,10,8,1,0.3012817711588389,0.301281771,0.0,-5.2721059582229545e-08
8,50,10,73,1,0.4357789787377973,0.547753034,20.44243449,20.442434511864825
9,50,10,79,1,0.42255679199915197,0.502730472,15.94764681,15.947646794095268
10,50,10,24,1,0.40628037875091944,0.476505064,14.73744785,14.73744783729739
11,50,10,9,1,0.4326708087328545,0.503043925,13.98945747,13.989457534378422
12,50,10,41,1,0.35635227901319444,0.405181637,12.05122688,12.051226790123646
13,50,10,94,1,0.4350076474314697,0.465460276,6.54247627,6.542476369891189
14,50,25,17,1,0.40072703543431487,0.453764308,11.68828647,11.688286546698851
15,50,25,95,1,0.39758530399341563,0.445421689,10.73957246,10.739572451889378
16,50,25,84,1,0.37503771870348385,0.416883232,10.03770595,10.037706025200876
17,50,25,54,1,0.41970095969590315,0.465585977,9.855326343,9.855326313682518
18,50,25,59,1,0.4671575775097853,0.516320626,9.521806085,9.521806027988244
19,50,25,88,1,0.5207315033359041,0.523295201,0.489914307,0.48991423181347327
20,100,5,40,1,0.2526056953261109,0.252605695,0.0,-1.290987760738764e-07
21,100,5,78,1,0.5567574751066069,0.556757475,0.0,-1.9147824731689758e-08
22,100,5,4,1,0.3325391211821799,0.341711746,2.684316442,2.6843165109753375
23,100,5,85,1,0.42743092119098147,0.427430921,0.0,-4.4681244030643984e-08
24,100,5,30,1,0.3826229221199195,0.382622922,0.0,-3.134143614102639e-08
25,100,5,20,1,0.58272679950158,0.5827268,0.0,8.553235786676347e-08
26,100,5,79,1,0.3969452868121133,0.498219126,20.32716808,20.327168087859945
27,100,5,88,1,0.4439219051808371,0.5304593,16.31367289,16.313672852783032
28,100,5,3,1,0.37427848160308613,0.439928461,14.92287623,14.92287615301931
29,100,5,15,1,0.336148098331971,0.394673514,14.82881765,14.828817640909389
30,100,5,73,1,0.4966330955714854,0.557376997,10.89817157,10.898171570671153
31,100,5,84,1,0.33113881535527256,0.35335868,6.2881899,6.28818984854919
32,100,10,87,1,0.46996881233013144,0.469968812,0.0,-7.024538943220063e-08
33,100,10,73,1,0.42671869741037893,0.546234245,21.8799075,21.879907509208074
34,100,10,79,1,0.43369051553655635,0.50882515,14.76629726,14.766297315186486
35,100,10,41,1,0.354550295631243,0.40268592,11.95363988,11.953639791715826
36,100,10,9,1,0.4476881948088672,0.5032989,11.04924039,11.04924036017818
37,100,10,24,1,0.4264457584897148,0.479014618,10.97437489,10.974374796696752
38,100,10,72,1,0.4453366324969727,0.445363158,0.005955936,0.005955926652398571
39,100,25,2,1,0.5300081968697669,0.530008197,0.0,2.4571913855026568e-08
40,100,25,95,1,0.4061070434665488,0.453900039,10.52940979,10.529409875959756
41,100,25,17,1,0.41909107386456645,0.465305184,9.931999922,9.931999841083552
42,100,25,59,1,0.484808479375561,0.526837555,7.977615681,7.977615723396745
43,100,25,43,1,0.42945483870418594,0.465551271,7.753481688,7.7534816344243325
44,100,25,84,1,0.3948950119995113,0.423488723,6.75194164,6.751941538827867
45,200,5,85,1,0.45463951363699706,0.454639514,0.0,7.984412921564484e-08
46,200,5,4,1,0.33896253591233694,0.350223416,3.215341939,3.2153418569999537
47,200,5,15,1,0.327750587390784,0.396114262,17.25857434,17.258574398216442
48,200,5,79,1,0.4105013045453888,0.495056771,17.07995359,17.07995353417986
49,200,5,88,1,0.47080369296844266,0.530201056,11.2027998,11.202799835909296
50,200,5,3,1,0.3989350764749684,0.444519392,10.2547418,10.25474171552714
51,200,5,69,1,0.6195494228971679,0.687172974,9.840833954,9.840833918307174
52,200,10,59,1,0.5136298590193821,0.513629859,0.0,-3.773544543737488e-09
53,200,10,93,1,0.5881904600574939,0.588458258,0.045508338,0.045508400785512854
54,200,10,87,1,0.5050022191098734,0.505002219,0.0,-2.1757021958082435e-08
55,200,10,61,1,0.46079007839222963,0.460790078,0.0,-8.512111184346034e-08
56,200,10,73,1,0.4390584941698007,0.545396271,19.49734213,19.497342113327228
57,200,10,79,1,0.446935919272588,0.51355633,12.97236682,12.97236677569761
58,200,10,4,1,0.36716716235804875,0.414688907,11.45961311,11.459613179850805
59,200,10,85,1,0.4132304148313952,0.460876054,10.33805917,10.338059171241898
60,200,10,33,1,0.5193563925114544,0.571297627,9.091799509,9.091799446341058
61,200,25,50,1,0.5042368218020106,0.504236822,0.0,3.9265161529690515e-08
62,200,25,21,1,0.4556137954631217,0.455613795,0.0,-1.0164786771876837e-07
63,200,25,88,1,0.5575226441888455,0.557522644,0.0,-3.3872255563015804e-08
64,200,25,17,1,0.4364038487905763,0.476734995,8.459867021,8.459866934967442
65,200,25,95,1,0.42835357260419576,0.462578775,7.398783555,7.398783568442853
66,200,25,59,1,0.502295821656722,0.537473735,6.545047859,6.545047888391776
67,200,25,43,1,0.45357437106924287,0.479100665,5.327960452,5.327960446633302
68,200,25,79,1,0.5593246210119283,0.59023454,5.236887544,5.236887524080125
69,200,25,24,1,0.43313703792353336,0.433137038,0.0,1.765413809314032e-08
